<expr>,capture.hostname,<expr>,<expr>,
/BR/RES,acc-capture-se2-01,12,1,
/INDS/CLAY,acc-capture-sv2-01,11,5,
/CC/PLA,acc-capture-sv2-01,11,3,
/SER/ROCH,acc-capture-sv2-01,11,3,
/TISH/WIL,acc-capture-sv2-02,11,1,
/SER/BUF2,acc-capture-ny1-01,10,6,
/CARR/745,acc-capture-ny1-01,10,4,
/WB/CH,acc-capture-atl-01,10,4,
/TISH/CON,acc-capture-atl-01,10,2,
/ARP/VAN,acc-capture-atl-01,9,4,
/INDS/1411,acc-capture-ny1-01,9,4,
/JLL/NSH,acc-capture-atl-01,9,3,
/JLL/LIC,acc-capture-atl-01,9,2,
/TISH/AQWA,acc-capture-sv2-02,8,5,
/BR/IRV,acc-capture-tx-01,8,2,
/INDS/350,acc-capture-ny1-01,8,2,
/INDS/PHX2,acc-capture-tx-01,8,2,
/INDS/SEA,acc-capture-tx-01,8,2,
/SER/CLA,acc-capture-ny1-01,8,2,
/SER/NYC,acc-capture-ny1-01,8,2,
/SCC/999,acc-capture-se2-01,8,1,
/SCC/SEA,acc-capture-se2-01,8,1,
/SER/CT,acc-capture-ny1-01,8,1,
/SER/RID,acc-capture-atl-01,7,4,
/WB/CH,acc-capture-sv2-02,7,2,
/JLL/LIC,acc-capture-sv2-02,6,3,
/INDS/PHI2,acc-capture-tx-01,6,1,
/TISH/300,acc-capture-ny1-01,5,4,
/CC/PLA,acc-capture-se2-01,5,3,
/INDS/DC,acc-capture-ny1-01,5,3,
/INDS/323,acc-capture-sv2-02,5,1,
/CC/PLA,acc-capture-sv2-02,4,3,
/INDS/IRV,acc-capture-tx-01,4,3,
/SER/RID,acc-capture-sv2-01,4,3,
/SYW/PB,acc-capture-ny1-01,4,3,
/BR/RES,acc-capture-tx-01,4,2,
/INDS/323,acc-capture-sv2-01,4,2,
/INDS/MIN1,acc-capture-ny1-01,4,2,
/INDS/PAS,acc-capture-ny1-01,4,2,
/INDS/BOST2,acc-capture-ny1-01,4,1,
/INDS/LA1,acc-capture-sv2-01,4,1,
/INDS/TEM,acc-capture-se2-01,4,1,
/NYCOS/733,acc-capture-ny1-01,4,1,
/SCC/1420,acc-capture-se2-01,4,1,
/SER/NSH,acc-capture-ny1-01,4,1,
/ES/MS,acc-capture-se2-01,3,3,
/BLEND/NYC,acc-capture-ny1-01,3,2,
/ES/SM,acc-capture-sv2-01,3,2,
/SCC/CHI,acc-capture-atl-01,3,2,
/SER/ROCH,acc-capture-atl-01,3,1,
/TISH/CON,acc-capture-sv2-01,3,1,
/CARR/POS,acc-capture-ny1-01,2,2,
/INDS/3424,acc-capture-atl-01,2,2,
/INDS/CP,acc-capture-atl-01,2,2,
/INDS/IRV,acc-capture-atl-01,2,2,
/SER/DUB,acc-capture-tx-01,2,2,
/BR/RES,acc-capture-atl-01,2,1,
/INDS/NYC6,acc-capture-atl-01,2,1,
/INDS/NYC8,acc-capture-ny1-01,2,1,
/INDS/PHI2,acc-capture-atl-01,2,1,
/SER/WP,acc-capture-ny1-01,2,1,
/TISH/45R,acc-capture-ny1-01,2,1,
/ARG/NYC,acc-capture-ny1-01,1,1,
/CARR/1455,acc-capture-ny1-01,1,1,
/CARR/1455,acc-capture-sv2-01,1,1,
/ES/SM,acc-capture-se2-01,1,1,
/INDS/135,acc-capture-atl-01,1,1,
/INDS/135,acc-capture-sv2-02,1,1,
/INDS/135,acc-capture-tx-01,1,1,
/INDS/1PPC,acc-capture-sv2-02,1,1,
/INDS/1PPC,acc-capture-tx-01,1,1,
/INDS/HUD,acc-capture-atl-01,1,1,
/INDS/IRV,acc-capture-sv2-02,1,1,
/INDS/MIA3,acc-capture-ny1-01,1,1,
/INDS/NYC6,acc-capture-sv2-02,1,1,
/INDS/ORL,acc-capture-atl-01,1,1,
/INDS/PAS,acc-capture-tx-01,1,1,
/INDS/SEA,acc-capture-sv2-01,1,1,
/INDS/TAM,acc-capture-atl-01,1,1,
/JLL/LIC,acc-capture-sv2-01,1,1,
/JLL/NSH,acc-capture-sv2-01,1,1,
/LAU/VIR,acc-capture-ny1-01,1,1,
/LBA/IRV2,acc-capture-sv2-01,1,1,
/SCC/CHI,acc-capture-se2-01,1,1,
/TISH/CON,acc-capture-se2-01,1,1,
/TISH/CON,acc-capture-sv2-02,1,1,
